ip,hname,alias,location,cluster,datastore,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,path,FileName
10.161.240.31,d70-s3-pm3,d70-s3-pm3.virt.daumkakao.io,datacenter70,d70-s03-cluster,datastore70-s3-pm3,10.61.238.31,10.61.239.31,10.61.238.153,10.61.239.153,10.61.238.183,10.61.239.183,10.161.243.31,/vmfs/volumes/d70-s3-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.32,d70-s3-pm4,d70-s3-pm4.virt.daumkakao.io,datacenter70,d70-s03-cluster,datastore70-s3-pm4,10.61.238.32,10.61.239.32,10.61.238.153,10.61.239.153,10.61.238.183,10.61.239.183,10.161.243.32,/vmfs/volumes/d70-s3-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.33,d70-s4-pm1,d70-s4-pm1.virt.daumkakao.io,datacenter70,d70-s04-cluster,datastore70-s4-pm1,10.61.238.33,10.61.239.33,10.61.238.154,10.61.239.154,10.61.238.184,10.61.239.184,10.161.243.33,/vmfs/volumes/d70-s4-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.34,d70-s4-pm2,d70-s4-pm2.virt.daumkakao.io,datacenter70,d70-s04-cluster,datastore70-s4-pm2,10.61.238.34,10.61.239.34,10.61.238.154,10.61.239.154,10.61.238.184,10.61.239.184,10.161.243.34,/vmfs/volumes/d70-s4-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.35,d70-s4-pm3,d70-s4-pm3.virt.daumkakao.io,datacenter70,d70-s04-cluster,datastore70-s4-pm3,10.61.238.35,10.61.239.35,10.61.238.154,10.61.239.154,10.61.238.184,10.61.239.184,10.161.243.35,/vmfs/volumes/d70-s4-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.36,d70-s4-pm4,d70-s4-pm4.virt.daumkakao.io,datacenter70,d70-s04-cluster,datastore70-s4-pm4,10.61.238.36,10.61.239.36,10.61.238.154,10.61.239.154,10.61.238.184,10.61.239.184,10.161.243.36,/vmfs/volumes/d70-s4-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.37,d70-s5-pm1,d70-s5-pm1.virt.daumkakao.io,datacenter70,d70-s05-cluster,datastore70-s5-pm1,10.61.238.37,10.61.239.37,10.61.238.155,10.61.239.155,10.61.238.185,10.61.239.185,10.161.243.37,/vmfs/volumes/d70-s5-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.38,d70-s5-pm2,d70-s5-pm2.virt.daumkakao.io,datacenter70,d70-s05-cluster,datastore70-s5-pm2,10.61.238.38,10.61.239.38,10.61.238.155,10.61.239.155,10.61.238.185,10.61.239.185,10.161.243.38,/vmfs/volumes/d70-s5-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.39,d70-s5-pm3,d70-s5-pm3.virt.daumkakao.io,datacenter70,d70-s05-cluster,datastore70-s5-pm3,10.61.238.39,10.61.239.39,10.61.238.155,10.61.239.155,10.61.238.185,10.61.239.185,10.161.243.39,/vmfs/volumes/d70-s5-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.40,d70-s5-pm4,d70-s5-pm4.virt.daumkakao.io,datacenter70,d70-s05-cluster,datastore70-s5-pm4,10.61.238.40,10.61.239.40,10.61.238.155,10.61.239.155,10.61.238.185,10.61.239.185,10.161.243.40,/vmfs/volumes/d70-s5-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.41,d70-s6-pm1,d70-s6-pm1.virt.daumkakao.io,datacenter70,d70-s06-cluster,datastore70-s6-pm1,10.61.238.41,10.61.239.41,10.61.238.156,10.61.239.156,10.61.238.186,10.61.239.186,10.161.243.41,/vmfs/volumes/d70-s6-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.42,d70-s6-pm2,d70-s6-pm2.virt.daumkakao.io,datacenter70,d70-s06-cluster,datastore70-s6-pm2,10.61.238.42,10.61.239.42,10.61.238.156,10.61.239.156,10.61.238.186,10.61.239.186,10.161.243.42,/vmfs/volumes/d70-s6-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.43,d70-s6-pm3,d70-s6-pm3.virt.daumkakao.io,datacenter70,d70-s06-cluster,datastore70-s6-pm3,10.61.238.43,10.61.239.43,10.61.238.156,10.61.239.156,10.61.238.186,10.61.239.186,10.161.243.43,/vmfs/volumes/d70-s6-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
